Cdif-ST-31	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-1	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-32	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-2	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-33	Cdif-recA-6	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-34	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-35	Cdif-recA-1	Cdif-dxr-8	Cdif-tpi-6	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-2
Cdif-ST-36	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-37	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-11	Cdif-glyA-8	Cdif-sodA-9	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-38	Cdif-recA-6	Cdif-dxr-10	Cdif-tpi-9	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-39	Cdif-recA-7	Cdif-dxr-10	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-40	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-5	Cdif-adk-4
Cdif-ST-41	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-9	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-42	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-7	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-43	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-6	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-7	Cdif-adk-1
Cdif-ST-44	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-2
Cdif-ST-45	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-46	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-10	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-47	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-2	Cdif-glyA-17	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
